batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.16896,19.162991
0,mae,0,0.075,9.064841,18.600105
0,mae,0,0.1,9.603155,18.305141
0,mae,0,0.15,11.012127,17.248775
0,mse,0,0.05,5.839367,20.390022
0,mse,0,0.075,6.89578,19.365162
0,mse,0,0.1,7.644485,18.766531
0,mse,0,0.15,9.60015,17.110271
0,mae,1,0.05,7.725643,19.5774
0,mae,1,0.075,9.07289,18.773663
0,mae,1,0.1,9.765753,18.392214
0,mae,1,0.15,10.965849,17.554688
0,mse,1,0.05,5.353392,21.499537
0,mse,1,0.075,6.985016,20.021635
0,mse,1,0.1,7.855287,19.363066
0,mse,1,0.15,9.489874,18.048891
0,mae,2,0.05,7.393594,19.817003
0,mae,2,0.075,8.901408,18.737883
0,mae,2,0.1,9.6657,18.371437
0,mae,2,0.15,11.514818,17.422552
0,mse,2,0.05,5.016078,22.184071
0,mse,2,0.075,6.608128,20.017626
0,mse,2,0.1,7.70817,19.499924
0,mse,2,0.15,10.258038,18.148512
0,mae,3,0.05,7.456019,19.160927
0,mae,3,0.075,9.25593,18.01634
0,mae,3,0.1,10.131329,17.392223
0,mae,3,0.15,12.186581,16.347273
0,mse,3,0.05,4.776349,20.590799
0,mse,3,0.075,6.643014,18.517836
0,mse,3,0.1,7.789561,17.554575
0,mse,3,0.15,10.887497,16.228767
0,mae,4,0.05,7.42931,19.645712
0,mae,4,0.075,9.421032,18.686769
0,mae,4,0.1,10.302547,17.794331
0,mae,4,0.15,12.404295,16.606035
0,mse,4,0.05,4.676867,21.707233
0,mse,4,0.075,6.961339,20.220505
0,mse,4,0.1,8.140997,18.771309
0,mse,4,0.15,11.194367,17.120667
0,mae,5,0.05,7.065455,19.755144
0,mae,5,0.075,9.102131,18.655605
0,mae,5,0.1,10.187624,17.960979
0,mae,5,0.15,12.384023,16.942436
0,mse,5,0.05,4.346808,22.155245
0,mse,5,0.075,6.604032,20.437162
0,mse,5,0.1,8.021626,19.501417
0,mse,5,0.15,11.118573,18.263456
0,mae,6,0.05,7.084801,19.828411
0,mae,6,0.075,9.083248,18.272346
0,mae,6,0.1,10.055072,17.686932
0,mae,6,0.15,12.135076,16.735447
0,mse,6,0.05,4.367228,22.114349
0,mse,6,0.075,6.475634,19.19573
0,mse,6,0.1,7.527745,18.222195
0,mse,6,0.15,10.347589,16.762173
0,mae,7,0.05,7.619733,19.211493
0,mae,7,0.075,9.497334,18.178684
0,mae,7,0.1,10.63865,17.774626
0,mae,7,0.15,12.668037,16.318058
0,mse,7,0.05,5.182485,20.66502
0,mse,7,0.075,7.140385,18.899805
0,mse,7,0.1,8.616872,18.274933
0,mse,7,0.15,11.562859,15.913902
0,mae,8,0.05,7.372032,19.24295
0,mae,8,0.075,9.958167,17.916019
0,mae,8,0.1,11.073499,16.957827
0,mae,8,0.15,13.058618,15.723223
0,mse,8,0.05,4.615579,21.092556
0,mse,8,0.075,7.486181,18.582405
0,mse,8,0.1,8.915875,16.709404
0,mse,8,0.15,11.745851,14.734358
0,mae,9,0.05,6.688511,19.385929
0,mae,9,0.075,9.375145,17.938282
0,mae,9,0.1,10.288912,17.277294
0,mae,9,0.15,12.560154,15.721166
0,mse,9,0.05,3.355978,21.338825
0,mse,9,0.075,6.160257,18.663692
0,mse,9,0.1,7.308552,17.571253
0,mse,9,0.15,10.430577,15.250233
0,mae,10,0.05,7.180685,19.22168
0,mae,10,0.075,8.696184,18.180973
0,mae,10,0.1,9.886372,17.221691
0,mae,10,0.15,11.903071,15.969059
0,mse,10,0.05,3.795982,20.961597
0,mse,10,0.075,5.118404,19.066875
0,mse,10,0.1,6.530926,17.331924
0,mse,10,0.15,9.181461,15.403536
0,mae,11,0.05,7.232829,18.988195
0,mae,11,0.075,9.159683,17.648748
0,mae,11,0.1,10.077598,16.83687
0,mae,11,0.15,11.833099,15.630392
0,mse,11,0.05,3.934308,19.907892
0,mse,11,0.075,5.568799,17.658289
0,mse,11,0.1,6.582694,16.355072
0,mse,11,0.15,8.787332,14.685796
0,mae,12,0.05,6.794834,19.753922
0,mae,12,0.075,8.250673,18.57316
0,mae,12,0.1,8.990002,17.887114
0,mae,12,0.15,10.803194,16.267111
0,mse,12,0.05,3.381742,21.714437
0,mse,12,0.075,4.766229,19.474907
0,mse,12,0.1,5.419733,18.38406
0,mse,12,0.15,7.499743,15.860769
0,mae,13,0.05,6.589587,20.299063
