batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.400775,26.533714
0,mae,0,0.075,6.579466,25.684578
0,mae,0,0.1,7.303472,24.971092
0,mae,0,0.15,8.697788,23.218155
0,mse,0,0.05,3.759941,39.554527
0,mse,0,0.075,5.119406,37.441841
0,mse,0,0.1,5.571791,35.750916
0,mse,0,0.15,7.329428,31.375961
0,mae,1,0.05,5.450043,26.456793
0,mae,1,0.075,7.549866,25.244461
0,mae,1,0.1,8.070637,24.860817
0,mae,1,0.15,9.166658,23.560219
0,mse,1,0.05,3.796305,39.747742
0,mse,1,0.075,6.150805,36.796818
0,mse,1,0.1,6.925561,35.740921
0,mse,1,0.15,8.205354,32.416626
0,mae,2,0.05,6.558438,25.904739
0,mae,2,0.075,7.947893,24.915161
0,mae,2,0.1,8.508325,24.344389
0,mae,2,0.15,9.730607,23.267365
0,mse,2,0.05,4.696838,38.723186
0,mse,2,0.075,6.318232,36.234711
0,mse,2,0.1,7.37648,34.832634
0,mse,2,0.15,8.94343,31.84951
0,mae,3,0.05,7.023486,25.556471
0,mae,3,0.075,8.391186,24.594635
0,mae,3,0.1,9.079134,24.013744
0,mae,3,0.15,10.368437,22.879356
0,mse,3,0.05,4.956796,37.68108
0,mse,3,0.075,6.915805,35.51992
0,mse,3,0.1,7.686555,33.905201
0,mse,3,0.15,9.827947,31.180899
0,mae,4,0.05,6.678447,25.778214
0,mae,4,0.075,8.664457,24.661678
0,mae,4,0.1,9.306986,24.139523
0,mae,4,0.15,10.891035,22.670452
0,mse,4,0.05,4.44181,37.890472
0,mse,4,0.075,7.195433,35.316689
0,mse,4,0.1,7.948603,34.009205
0,mse,4,0.15,10.184971,30.560999
0,mae,5,0.05,6.44008,25.518764
0,mae,5,0.075,8.293718,24.335363
0,mae,5,0.1,9.771523,23.877871
0,mae,5,0.15,10.801701,22.592024
0,mse,5,0.05,4.345781,36.970657
0,mse,5,0.075,6.649774,34.343056
0,mse,5,0.1,8.513072,33.248283
0,mse,5,0.15,10.262312,30.65995
0,mae,6,0.05,6.026374,25.600784
0,mae,6,0.075,8.139421,24.227741
0,mae,6,0.1,9.105256,23.851299
0,mae,6,0.15,10.78089,22.95924
0,mse,6,0.05,3.856165,37.375618
0,mse,6,0.075,6.397794,34.000912
0,mse,6,0.1,7.583652,33.08704
0,mse,6,0.15,9.850039,31.391764
0,mae,7,0.05,5.627383,25.8517
0,mae,7,0.075,7.684197,24.68742
0,mae,7,0.1,8.570913,24.064377
0,mae,7,0.15,10.141619,22.798084
0,mse,7,0.05,3.5329,37.756935
0,mse,7,0.075,5.833619,35.141293
0,mse,7,0.1,7.069293,33.794464
0,mse,7,0.15,8.928223,31.039547
0,mae,8,0.05,5.716649,25.719076
0,mae,8,0.075,7.505727,24.458099
0,mae,8,0.1,8.220598,23.89876
0,mae,8,0.15,10.24059,22.865894
0,mse,8,0.05,3.530911,37.454475
0,mse,8,0.075,5.778554,34.472523
0,mse,8,0.1,6.45858,33.120956
0,mse,8,0.15,9.137243,30.986864
0,mae,9,0.05,5.633383,25.893471
0,mae,9,0.075,7.478883,24.924017
0,mae,9,0.1,8.245039,24.031036
0,mae,9,0.15,10.341284,22.668034
0,mse,9,0.05,3.466484,37.93811
0,mse,9,0.075,5.373268,35.18676
0,mse,9,0.1,6.195453,33.237617
0,mse,9,0.15,9.185934,30.141403
0,mae,10,0.05,5.541008,26.065636
0,mae,10,0.075,7.581689,24.681961
0,mae,10,0.1,8.460399,24.187916
0,mae,10,0.15,9.924858,23.129946
0,mse,10,0.05,3.637992,38.126114
0,mse,10,0.075,5.50674,34.574486
0,mse,10,0.1,6.619424,33.276474
0,mse,10,0.15,8.550465,31.037685
0,mae,11,0.05,5.818357,26.07793
0,mae,11,0.075,7.347486,25.181393
0,mae,11,0.1,8.109555,24.575947
0,mae,11,0.15,9.457131,23.246361
0,mse,11,0.05,3.900684,38.130913
0,mse,11,0.075,5.487644,35.840668
0,mse,11,0.1,6.449405,34.439423
0,mse,11,0.15,7.857312,31.577255
0,mae,12,0.05,5.489938,26.315287
0,mae,12,0.075,7.486148,25.156607
0,mae,12,0.1,8.066734,24.607212
0,mae,12,0.15,9.2784,23.381945
0,mse,12,0.05,3.327794,38.848923
0,mse,12,0.075,5.497003,36.044388
0,mse,12,0.1,6.096358,34.739647
0,mse,12,0.15,7.541008,31.694435
0,mae,13,0.05,5.710426,26.473522
0,mae,13,0.075,7.530728,25.595327
