batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,0.853744,11.131483
0,mae,0,0.075,0.909418,11.216473
0,mae,0,0.1,0.950136,10.849584
0,mae,0,0.15,1.002067,9.354052
0,mse,0,0.05,0.056023,7.569169
0,mse,0,0.075,0.060942,7.647636
0,mse,0,0.1,0.065171,7.546272
0,mse,0,0.15,0.071559,5.620312
0,mae,1,0.05,0.85396,11.128042
0,mae,1,0.075,0.909626,11.240606
0,mae,1,0.1,0.951901,10.883707
0,mae,1,0.15,1.002553,9.360004
0,mse,1,0.05,0.05603,7.57097
0,mse,1,0.075,0.060971,7.681355
0,mse,1,0.1,0.065326,7.581052
0,mse,1,0.15,0.071567,5.630419
0,mae,2,0.05,0.85396,11.128042
0,mae,2,0.075,0.909626,11.240606
0,mae,2,0.1,0.951901,10.883707
0,mae,2,0.15,1.002553,9.360004
0,mse,2,0.05,0.05603,7.57097
0,mse,2,0.075,0.060971,7.681355
0,mse,2,0.1,0.065326,7.581052
0,mse,2,0.15,0.071567,5.630419
0,mae,3,0.05,0.85396,11.128042
0,mae,3,0.075,0.909626,11.240606
0,mae,3,0.1,0.951901,10.883707
0,mae,3,0.15,1.002553,9.360004
0,mse,3,0.05,0.05603,7.57097
0,mse,3,0.075,0.060971,7.681355
0,mse,3,0.1,0.065326,7.581052
0,mse,3,0.15,0.071567,5.630419
0,mae,4,0.05,0.85396,11.128042
0,mae,4,0.075,0.909626,11.240606
0,mae,4,0.1,0.951901,10.883707
0,mae,4,0.15,1.002553,9.360004
0,mse,4,0.05,0.05603,7.57097
0,mse,4,0.075,0.060971,7.681355
0,mse,4,0.1,0.065326,7.581052
0,mse,4,0.15,0.071567,5.630419
0,mae,5,0.05,0.85396,11.128042
0,mae,5,0.075,0.909626,11.240606
0,mae,5,0.1,0.951901,10.883707
0,mae,5,0.15,1.002553,9.360004
0,mse,5,0.05,0.05603,7.57097
0,mse,5,0.075,0.060971,7.681355
0,mse,5,0.1,0.065326,7.581052
0,mse,5,0.15,0.071567,5.630419
0,mae,6,0.05,0.85396,11.128042
0,mae,6,0.075,0.909626,11.240606
0,mae,6,0.1,0.951901,10.883707
0,mae,6,0.15,1.002553,9.360004
0,mse,6,0.05,0.05603,7.57097
0,mse,6,0.075,0.060971,7.681355
0,mse,6,0.1,0.065326,7.581052
0,mse,6,0.15,0.071567,5.630419
0,mae,7,0.05,0.85396,11.128042
0,mae,7,0.075,0.909626,11.240606
0,mae,7,0.1,0.951901,10.883707
0,mae,7,0.15,1.002553,9.360004
0,mse,7,0.05,0.05603,7.57097
0,mse,7,0.075,0.060971,7.681355
0,mse,7,0.1,0.065326,7.581052
0,mse,7,0.15,0.071567,5.630419
0,mae,8,0.05,0.85396,11.128042
0,mae,8,0.075,0.909626,11.240606
0,mae,8,0.1,0.951901,10.883707
0,mae,8,0.15,1.002553,9.360004
0,mse,8,0.05,0.05603,7.57097
0,mse,8,0.075,0.060971,7.681355
0,mse,8,0.1,0.065326,7.581052
0,mse,8,0.15,0.071567,5.630419
0,mae,9,0.05,0.85396,11.128042
0,mae,9,0.075,0.909626,11.240606
0,mae,9,0.1,0.951901,10.883707
0,mae,9,0.15,1.002553,9.360004
0,mse,9,0.05,0.05603,7.57097
0,mse,9,0.075,0.060971,7.681355
0,mse,9,0.1,0.065326,7.581052
0,mse,9,0.15,0.071567,5.630419
0,mae,10,0.05,0.85396,11.128042
0,mae,10,0.075,0.909626,11.240606
0,mae,10,0.1,0.951901,10.883707
0,mae,10,0.15,1.002553,9.360004
0,mse,10,0.05,0.05603,7.57097
0,mse,10,0.075,0.060971,7.681355
0,mse,10,0.1,0.065326,7.581052
0,mse,10,0.15,0.071567,5.630419
0,mae,11,0.05,0.85396,11.128042
0,mae,11,0.075,0.909626,11.240606
0,mae,11,0.1,0.951901,10.883707
0,mae,11,0.15,1.002553,9.360004
0,mse,11,0.05,0.05603,7.57097
0,mse,11,0.075,0.060971,7.681355
0,mse,11,0.1,0.065326,7.581052
0,mse,11,0.15,0.071567,5.630419
0,mae,12,0.05,0.85396,11.128042
0,mae,12,0.075,0.909626,11.240606
0,mae,12,0.1,0.951901,10.883707
0,mae,12,0.15,1.002553,9.360004
0,mse,12,0.05,0.05603,7.57097
0,mse,12,0.075,0.060971,7.681355
0,mse,12,0.1,0.065326,7.581052
0,mse,12,0.15,0.071567,5.630419
0,mae,13,0.05,0.85396,11.128042
0,mae,13,0.075,0.909626,11.240606
0,mae,13,0.1,0.951901,10.883707
0,mae,13,0.15,1.002553,9.360004
0,mse,13,0.05,0.05603,7.57097
0,mse,13,0.075,0.060971,7.681355
0,mse,13,0.1,0.065326,7.581052
0,mse,13,0.15,0.071567,5.630419
0,mae,14,0.05,0.85396,11.128042
0,mae,14,0.075,0.909626,11.240606
0,mae,14,0.1,0.951901,10.883707
0,mae,14,0.15,1.002553,9.360004
0,mse,14,0.05,0.05603,7.57097
0,mse,14,0.075,0.060971,7.681355
0,mse,14,0.1,0.065326,7.581052
0,mse,14,0.15,0.071567,5.630419
0,mae,15,0.05,0.85396,11.128042
0,mae,15,0.075,0.909626,11.240606
0,mae,15,0.1,0.951901,10.883707
0,mae,15,0.15,1.002553,9.360004
0,mse,15,0.05,0.05603,7.57097
0,mse,15,0.075,0.060971,7.681355
0,mse,15,0.1,0.065326,7.581052
0,mse,15,0.15,0.071567,5.630419
0,mae,16,0.05,0.85396,11.128042
0,mae,16,0.075,0.909626,11.240606
0,mae,16,0.1,0.951901,10.883707
0,mae,16,0.15,1.002553,9.360004
0,mse,16,0.05,0.05603,7.57097
0,mse,16,0.075,0.060971,7.681355
0,mse,16,0.1,0.065326,7.581052
0,mse,16,0.15,0.071567,5.630419
0,mae,17,0.05,0.85396,11.128042
0,mae,17,0.075,0.909626,11.240606
0,mae,17,0.1,0.951901,10.883707
0,mae,17,0.15,1.002553,9.360004
0,mse,17,0.05,0.05603,7.57097
0,mse,17,0.075,0.060971,7.681355
0,mse,17,0.1,0.065326,7.581052
0,mse,17,0.15,0.071567,5.630419
0,mae,18,0.05,0.85396,11.128042
0,mae,18,0.075,0.909626,11.240606
0,mae,18,0.1,0.951901,10.883707
0,mae,18,0.15,1.002553,9.360004
0,mse,18,0.05,0.05603,7.57097
0,mse,18,0.075,0.060971,7.681355
0,mse,18,0.1,0.065326,7.581052
0,mse,18,0.15,0.071567,5.630419
0,mae,19,0.05,0.85396,11.128042
0,mae,19,0.075,0.909626,11.240606
0,mae,19,0.1,0.951901,10.883707
0,mae,19,0.15,1.002553,9.360004
0,mse,19,0.05,0.05603,7.57097
0,mse,19,0.075,0.060971,7.681355
0,mse,19,0.1,0.065326,7.581052
0,mse,19,0.15,0.071567,5.630419
0,mae,20,0.05,0.85396,11.128042
0,mae,20,0.075,0.909626,11.240606
0,mae,20,0.1,0.951901,10.883707
0,mae,20,0.15,1.002553,9.360004
0,mse,20,0.05,0.05603,7.57097
0,mse,20,0.075,0.060971,7.681355
0,mse,20,0.1,0.065326,7.581052
0,mse,20,0.15,0.071567,5.630419
0,mae,21,0.05,0.85396,11.128042
0,mae,21,0.075,0.909626,11.240606
0,mae,21,0.1,0.951901,10.883707
0,mae,21,0.15,1.002553,9.360004
0,mse,21,0.05,0.05603,7.57097
0,mse,21,0.075,0.060971,7.681355
0,mse,21,0.1,0.065326,7.581052
0,mse,21,0.15,0.071567,5.630419
0,mae,22,0.05,0.85396,11.128042
0,mae,22,0.075,0.909626,11.240606
0,mae,22,0.1,0.951901,10.883707
0,mae,22,0.15,1.002553,9.360004
0,mse,22,0.05,0.05603,7.57097
0,mse,22,0.075,0.060971,7.681355
0,mse,22,0.1,0.065326,7.581052
0,mse,22,0.15,0.071567,5.630419
0,mae,23,0.05,0.85396,11.128042
0,mae,23,0.075,0.909626,11.240606
0,mae,23,0.1,0.951901,10.883707
0,mae,23,0.15,1.002553,9.360004
0,mse,23,0.05,0.05603,7.57097
0,mse,23,0.075,0.060971,7.681355
0,mse,23,0.1,0.065326,7.581052
0,mse,23,0.15,0.071567,5.630419
1,mae,0,0.05,0.925451,13.636668
1,mae,0,0.075,0.964544,11.404488
1,mae,0,0.1,1.020045,11.35148
1,mae,0,0.15,1.183108,10.195402
1,mse,0,0.05,0.056392,12.899586
1,mse,0,0.075,0.062972,8.893984
1,mse,0,0.1,0.068235,8.328339
1,mse,0,0.15,0.090249,7.340269
1,mae,1,0.05,0.924562,13.662899
1,mae,1,0.075,0.965027,11.373566
1,mae,1,0.1,1.020797,11.352721
1,mae,1,0.15,1.179736,10.170931
1,mse,1,0.05,0.056246,12.913681
1,mse,1,0.075,0.062993,8.87789
1,mse,1,0.1,0.068288,8.329086
1,mse,1,0.15,0.089906,7.32937
1,mae,2,0.05,0.924562,13.662899
1,mae,2,0.075,0.965027,11.373566
1,mae,2,0.1,1.020797,11.352721
1,mae,2,0.15,1.179736,10.170931
1,mse,2,0.05,0.056246,12.913681
1,mse,2,0.075,0.062993,8.87789
1,mse,2,0.1,0.068288,8.329086
1,mse,2,0.15,0.089906,7.32937
1,mae,3,0.05,0.924562,13.662899
1,mae,3,0.075,0.965027,11.373566
1,mae,3,0.1,1.020797,11.352721
1,mae,3,0.15,1.179736,10.170931
1,mse,3,0.05,0.056246,12.913681
1,mse,3,0.075,0.062993,8.87789
1,mse,3,0.1,0.068288,8.329086
1,mse,3,0.15,0.089906,7.32937
1,mae,4,0.05,0.924562,13.662899
1,mae,4,0.075,0.965027,11.373566
